#Identifiant_A;Identifiant_R;Libellé_du_site;Caractéristique_du_site;Site_Acores_rattachement;Adresse;Complément_d_adresse;Lieu_dit;Code_postal;Localité;Code_INSEE;Pays;Latitude;Longitude;Précision_du_géocodage;Numéro_de_téléphone;Changeur_de_monnaie;Distributeur_de_billets;Distributeur_Prêt_à_Poster;Affranchissement_Libre_Service;Dépôt_de_Chèque;Photocopieurs;Accessibilité_Automate_d_affranchissement_avec_prise_audio;Accessibilté_Distributeur_de_billets_avec_prise_audio;Accessibilité_Présence_d_un_panneau_prioritaire;Accessibilité_Borne_sonore_en_état_de_fonctionnement;Accessibilité_Espace_de_circulation_intérieur_suffisant_pour_PMR;Accessibilité_Présence_d_un_espace_confidentiel_accessible_PMR;Accessibilité_Présence_d_un_GAB_externe_accessible_PMR;Accessibilité_Présence_d_un_guichet_surbaissé_ou_d_un_écritoire;Accessibilité_Présence_d_une_bande_de_guidage_au_sol;Accessibilité_Amplificateur_de_son_pour_malentendant;Accessibilité_Escalier_ou_dénivelé_accessible_au_malvoyant;Accessibilité_Pick_up_accessible_PMR;Accessibilité_Accessibilité_externe_déclarée_conforme_par_propriétaire;Accessibilité_Accessible_aux_personnes_handicapées_moteur;Accessibilité_Accessibilité_interne_déclarée_conforme_par_propriétaire;Accessibilité_Accueil_en_langue_des_signes
14631A;769490;MONT SAINT AIGNAN A AP;Agence postale communale;14419A;33 RUE  EDOUARD  FORTIER;;;76130;MONT ST AIGNAN;76451;FRANCE;49.45533;1.090347;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14631D;461640;LIVERNON AP;Agence postale communale;08606A;11 ALLEE DU FOIRAIL;;;46320;LIVERNON;46176;FRANCE;44.647474713555;1.8423733971572;;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14636A;769630;SAINT ETIENNE DU ROUVRAY CARNOT BP;Bureau de Poste;;14 AVENUE OLIVIER GOUBERT; ; ;76800;ST ETIENNE DU ROUVRAY;76575;FRANCE;49.380998;1.105419;Géocodé au numéro;3631;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
14637A;769640;LE HAVRE QUARTIER DE L EURE A AP;Agence postale intercommunale;14485A;RUE DU HOMET;;;76600;LE HAVRE;76351;FRANCE;49.480194;0.163875;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14637D;138700;PEYPIN AP;Agence postale communale;02034A;1 AVENUE DU PONT;NUMERO 1 BIS;;13124;PEYPIN;13073;FRANCE;43.385819493;5.5773180172;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14638A;769670;LE HAVRE PARC DE ROUELLES;Bureau de Poste;;174 AVENUE DU 8 MAI 1945;;;76610;LE HAVRE;76351;FRANCE;49.512192;0.174411;Géocodé au numéro;3631;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
14639A;769680;ROUEN GRAND MARE BP;Bureau de Poste;;RUE CESAR FRANCK;17;;76000;ROUEN;76540;FRANCE;49.448193;1.140428;Géocodé au numéro;3631;;Oui;;Oui;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
14641A;769740;LE GRAND QUEVILLY REPUBLIQUE BP;Bureau de Poste;;82 RUE DE LA REPUBLIQUE;;;76120;LE GRAND QUEVILLY;76322;FRANCE;49.416192;1.036437;Géocodé au numéro;3631;;Oui;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
14641D;361960;MEZIERES EN BRENNE AP;Agence postale communale;06701A;4 PLACE JEAN MOULIN;;;36290;MEZIERES EN BRENNE;36123;FRANCE;46.819810952;1.2133626811;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
14642A;769790;ROUEN GRAMMONT BP;Bureau de Poste;;74 RUE JULES ADELINE;;;76100;ROUEN;76540;FRANCE;49.424096;1.094977;Géocodé au numéro;3631;;;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
14645A;770050;ANNET SUR MARNE BP;Bureau de Poste;;28 RUE PAUL VALENTIN;;;77410;ANNET SUR MARNE;77005;FRANCE;48.925934;2.720288;Géocodé au numéro;3631;;;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
14646A;770140;AVON BP;Bureau de Poste;;49 AVENUE FRANKLIN ROOSEVELT; ; ;77210;AVON;77014;FRANCE;48.4158;2.7209;Géocodé au milieu d un îlot;3631;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
14647A;770160;BAGNEAUX SUR LOING BP;Bureau de Poste;;54 RUE SAINT LAURENT;;;77167;BAGNEAUX SUR LOING;77016;FRANCE;48.230338;2.707003;Géocodé au numéro;3631;;;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
