#Identifiant_A;Identifiant_R;Libellé_du_site;Caractéristique_du_site;Site_Acores_rattachement;Adresse;Complément_d_adresse;Lieu_dit;Code_postal;Localité;Code_INSEE;Pays;Latitude;Longitude;Précision_du_géocodage;Numéro_de_téléphone;Changeur_de_monnaie;Distributeur_de_billets;Distributeur_Prêt_à_Poster;Affranchissement_Libre_Service;Dépôt_de_Chèque;Photocopieurs;Accessibilité_Automate_d_affranchissement_avec_prise_audio;Accessibilté_Distributeur_de_billets_avec_prise_audio;Accessibilité_Présence_d_un_panneau_prioritaire;Accessibilité_Borne_sonore_en_état_de_fonctionnement;Accessibilité_Espace_de_circulation_intérieur_suffisant_pour_PMR;Accessibilité_Présence_d_un_espace_confidentiel_accessible_PMR;Accessibilité_Présence_d_un_GAB_externe_accessible_PMR;Accessibilité_Présence_d_un_guichet_surbaissé_ou_d_un_écritoire;Accessibilité_Présence_d_une_bande_de_guidage_au_sol;Accessibilité_Amplificateur_de_son_pour_malentendant;Accessibilité_Escalier_ou_dénivelé_accessible_au_malvoyant;Accessibilité_Pick_up_accessible_PMR;Accessibilité_Accessibilité_externe_déclarée_conforme_par_propriétaire;Accessibilité_Accessible_aux_personnes_handicapées_moteur;Accessibilité_Accessibilité_interne_déclarée_conforme_par_propriétaire;Accessibilité_Accueil_en_langue_des_signes
00001A;010040;AMBERIEU EN BUGEY;Bureau de Poste;;38 RUE ALEXANDRE BERARD;;;01500;AMBERIEU EN BUGEY;01004;FRANCE;45.9598;5.3582;Géocodé au numéro;3631;;Oui;;Oui;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00002A;010050;AMBERIEU EN DOMBES BP;Bureau de Poste;;240 RUE GOMBETTE;;;01330;AMBERIEUX EN DOMBES;01005;FRANCE;45.99639;4.903345;Géocodé au numéro;3631;;;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00008A;010210;ARS SUR FORMANS BP;Bureau de Poste;;RUE JEAN MARIE VIANNEY;;;01480;ARS SUR FORMANS;01021;FRANCE;45.992899;4.821718;Géocodé au numéro;3631;;;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00011A;010260;BAGE LE CHATEL BP;Bureau de Poste;;RUE CONDAMNALE;;;01380;BAGE LE CHATEL;01026;FRANCE;46.307694;4.929602;Géocodé au numéro;3631;;;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00013A;010300;BEAUREGARD AP;Agence postale communale;00174A;99 RUE HECTOR BERLIOZ;MAIRIE;;01480;BEAUREGARD;01030;FRANCE;46.002974656;4.7512038479;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00015A;010320;BELIGNEUX CAMP DE LA VALBONNE BP;Bureau de Poste;;23 RUE DE LA POSTE; CAMP MILITAIRE LA VALBONNE;;01360;BELIGNEUX;01032;FRANCE;45.8488828;5.12479312;;3631;;Oui;;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00016A;010330;BELLEGARDE SUR VALSERINE PAL;Bureau de Poste;;52 B RUE DE LA REPUBLIQUE;;;01200;BELLEGARDE SUR VALSERINE;01033;FRANCE;46.107098;5.824684;Géocodé au numéro;3631;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00017A;010340;BELLEY;Bureau de Poste;;1 BOULEVARD DU MAIL;;;01300;BELLEY;01034;FRANCE;45.761179;5.687556;Géocodé au numéro;3631;;Oui;;Oui;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00022A;010460;BIZIAT AP;Agence postale communale;00046A; 40 ROUTE DE RETISSINGE;;;01290;BIZIAT;01046;FRANCE;46.216879;4.943519;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00023A;010490;LA BOISSE AP;Agence postale communale;00103A;31 PLACE MARCEL VIENOT;;;01120;LA BOISSE;01049;FRANCE;45.841808;5.032843;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00025A;010530;BOURG EN BRESSE PREFECTURE;Bureau de Poste;;1 AVENUE ALPHONSE MUSCAT;;;01000;BOURG EN BRESSE;01053;FRANCE;46.202794;5.220568;Géocodé au numéro;3631;;Oui;;Oui;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00030A;010720;CEYZERIAT;Bureau de Poste;;RUE JEROME LALANDE; ; ;01250;CEYZERIAT;01072;FRANCE;46.179193;5.325461;Géocodé au numéro;3631;;Oui;;Oui;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00031A;010730;CEYZERIEU AP;Agence postale communale;00017A;1 PLACE DE LA MAIRIE;;;01350;CEYZERIEU;01073;FRANCE;45.835258;5.726434;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00032A;010740;CHALAMONT BP;Bureau de Poste;;PLACE DU MARCHE; ; ;01320;CHALAMONT;01074;FRANCE;45.997007;5.171485;Géocodé au numéro;3631;;;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00036A;010790;CHAMPAGNE EN VALROMEY AP;Agence postale communale;00017A;PLACE BRILLAT SAVARIN;;;01260;CHAMPAGNE EN VALROMEY;01079;FRANCE;45.904699;5.679104;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00037A;010800;CHAMPDOR AP;Agence postale communale;00017A;LE VILLAGE;;;01110;CHAMPDOR;01080;FRANCE;46.016655;5.596165;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00038A;010810;CHAMPFROMIER AP;Agence postale communale;00016A; 9 RUE DU CHAMP DU PONT; LE PONT D ENFER;;01410;CHAMPFROMIER;01081;FRANCE;46.194562;5.816555;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00039A;010820;CHANAY AP;Agence postale communale;00017A;7 PLACE DES TILLEULS;;;01420;CHANAY;01082;FRANCE;46.005580001472;5.7853300034766;;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00044A;010910;CHATILLON EN MICHAILLE AP;Agence postale communale;00016A;35 RUE DE LA POSTE; ;CHATILLON EN MICHAILLE;01200;VALSERHONE;01033;FRANCE;46.143198970829;5.7986198474023;;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00045A;010920;CHATILLON LA PALUD AP;Agence postale communale;00001A;248 ROUTE DE GEVRIEUX;;;01320;CHATILLON LA PALUD;01092;FRANCE;45.972564;5.254418;;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00046A;010930;CHATILLON SUR CHALARONNE;Bureau de Poste;;270 AVENUE RAYMOND SARBACH;;;01400;CHATILLON SUR CHALARONNE;01093;FRANCE;46.118997;4.960829;Géocodé au numéro;3631;;Oui;;Oui;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00048A;010960;CHAVEYRIAT AP;Agence postale communale;00046A;55 RUE DE LA MAIRIE;;;01660;CHAVEYRIAT;01096;FRANCE;46.198098;5.061319;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00049A;010970;BOURG EN BRESSE FONTAINE BERNARD BP;Bureau de Poste;;14 RUE BERNARD; ; ;01000;BOURG EN BRESSE;01053;FRANCE;46.205896;5.228136;Géocodé au numéro;3631;;Oui;;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00051A;011000;BOURG AMEDEE MERCIER AP;Agence postale communale;00025A;57 AVENUE AMEDEE MERCIER;;;01000;BOURG EN BRESSE;01053;FRANCE;46.2035;5.2434;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00052A;011030;CHEVRY AP;Agence postale communale;00073A;254 RUE SAINT MAURICE;;;01170;CHEVRY;01103;FRANCE;46.280826;6.039618;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00053A;011040;CHEZERY FORENS AP;Agence postale communale;00016A;27 PLACE DE LA MAIRIE;;;01410;CHEZERY FORENS;01104;FRANCE;46.222367;5.867583;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00054A;011050;CIVRIEUX RP;Relais poste;00174A;13 ROUTE DE LYON;LA BASCULE;;01390;CIVRIEUX;01105;FRANCE;45.921537141186;4.8821175185231;;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00056A;011090;COLLONGES BP;Bureau de Poste;;134 RUE DU FORT; ; ;01550;COLLONGES;01109;FRANCE;46.137038;5.903005;Géocodé au numéro;3631;;;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00057A;011130;CONDEISSIAT AP;Agence postale communale;00046A;LE VILLAGE;;;01400;CONDEISSIAT;01113;FRANCE;46.156985;5.079904;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00059A;011180;CORBONOD RP;Relais poste;00017A;370 GRANDE RUE;MAGASIN VIVAL;;01420;CORBONOD;01118;FRANCE;45.968551;5.809858;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00060A;011220;CORMARANCHE EN BUGEY AP;Agence postale communale;00017A;1 PLACE DE LA MAIRIE;MAIRIE;CORMARANCHE EN BUGEY;01110;PLATEAU D HAUTEVILLE;01185;FRANCE;45.951729;5.612403;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00062A;011250;CORVEISSIAT AP;Agence postale communale;00030A;201 GRANDE RUE;BATIMENT MAIRIE;;01250;CORVEISSIAT;01125;FRANCE;46.244083;5.482266;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00064A;011380;CULOZ BP;Bureau de Poste;;5 RUE DE LA ROSERAIE;; ;01350;CULOZ;01138;FRANCE;45.847694;5.784184;Géocodé au numéro;3631;;Oui;;Oui;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00065A;011420;DAGNEUX AP;Agence postale communale;00103A;PLACE DES TILLEULS;;;01120;DAGNEUX;01142;FRANCE;45.851505;5.075998;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00066A;011430;DIVONNE LES BAINS BP;Bureau de Poste;;PLACE DE L EGLISE;;;01220;DIVONNE LES BAINS;01143;FRANCE;46.35689;6.142471;Géocodé au numéro;3631;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00072A;011590;FEILLENS BP;Bureau de Poste;;815 GRANDE RUE; ; ;01570;FEILLENS;01159;FRANCE;46.335753;4.889533;Géocodé au numéro;3631;;;;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00073A;011600;FERNEY VOLTAIRE;Bureau de Poste;;1 AVENUE VOLTAIRE;;;01210;FERNEY VOLTAIRE;01160;FRANCE;46.25658;6.108921;Géocodé au numéro;3631;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00075A;011730;GEX BP;Bureau de Poste;;15 RUE DES ACACIAS; ; ;01170;GEX;01173;FRANCE;46.332687575513;6.0584950584829;;3631;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00076A;011800;GRILLY AP;Agence postale communale;00073A;34 CHEMIN JACQUES BELAY;;;01220;GRILLY;01180;FRANCE;46.33174;6.114522;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00078A;011850;HAUTEVILLE LOMPNES BP;Bureau de Poste;;350 RUE DE LA REPUBLIQUE; ; ;01110;HAUTEVILLE LOMPNES;01185;FRANCE;45.976987;5.60185;Géocodé au numéro;3631;;Oui;;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00080A;011890;INJOUX GENISSIAT AP;Agence postale communale;00016A; 4 C RUE DES ECOLES;;;01200;INJOUX GENISSIAT;01189;FRANCE;46.050999;5.802806;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00081A;011920;IZERNORE BP;Bureau de Poste;;551 GRANDE RUE;;;01580;IZERNORE;01192;FRANCE;46.219927;5.554568;Géocodé au numéro;3631;;Oui;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00082A;011940;JASSANS RIOTTIER BP;Bureau de Poste;;208 PLACE DE LIMELETTE; ; ;01480;JASSANS RIOTTIER;01194;FRANCE;45.983992;4.757399;Géocodé au numéro;3631;;Oui;;Oui;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00085A;012020;LAGNIEU BP;Bureau de Poste;;11 BIS ROUTE DU PORT;;;01150;LAGNIEU;01202;FRANCE;45.900305;5.347754;Géocodé au numéro;3631;;Oui;;Oui;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00087A;012100;LELEX BP;Bureau de Poste;;ROUTE DE MIJOUX; ; ;01410;LELEX;01210;FRANCE;46.30268;5.940351;Géocodé au numéro;3631;;Oui;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00088A;012110;LENT AP;Agence postale communale;00025A;8 PLACE DE LA MAIRIE;;;01240;LENT;01211;FRANCE;46.119292;5.196807;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00089A;012130;LEYMENT AP;Agence postale communale;00001A; 64 RUE DE LA GUILLOTIERE;MAIRIE;;01150;LEYMENT;01213;FRANCE;45.9229;5.295251;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00090A;012160;LHUIS BP;Bureau de Poste;;LE BOURG; ; ;01680;LHUIS;01216;FRANCE;45.745545;5.535525;Géocodé au numéro;3631;;;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00091A;012240;LOYETTES AP;Agence postale communale;00001A;184 RUE DES VERCHERES;;;01360;LOYETTES;01224;FRANCE;45.775637;5.207817;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00092A;012280;MAILLAT AP;Agence postale communale;00116A;110 ROUTE DE PEYRIAT;;;01430;MAILLAT;01228;FRANCE;46.127457;5.539176;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00095A;012350;MARLIEUX AP;Agence postale communale;00025A;1 PLACE DE LA MAIRIE;;;01240;MARLIEUX;01235;FRANCE;46.064674;5.069533;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00096A;012370;MARTIGNAT AP;Agence postale communale;00116A;195 GRANDE RUE;;;01100;MARTIGNAT;01237;FRANCE;46.209042;5.610398;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00097A;012410;MEILLONNAS AP;Agence postale communale;00030A;PLACE DE LA MAIRIE;;;01370;MEILLONNAS;01241;FRANCE;46.245498;5.351169;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00099A;012440;MEXIMIEUX BP;Bureau de Poste;;7 PLACE LIEUTENANT GIRAUD;;;01800;MEXIMIEUX;01244;FRANCE;45.904725;5.192328;Géocodé au numéro;3631;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00100A;012460;MEZERIAT BP;Bureau de Poste;;41 PLACE DU MARCHE; ; ;01660;MEZERIAT;01246;FRANCE;46.23387;5.046825;Géocodé au numéro;3631;;;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00101A;012470;MIJOUX AP;Agence postale communale;00016A;RUE DAME PERNETTE;;;01410;MIJOUX;01247;FRANCE;46.366512;5.996792;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00103A;012490;MIRIBEL;Bureau de Poste;;SQUARE LUCIEN AGNEL;;;01700;MIRIBEL;01249;FRANCE;45.823887;4.950582;Géocodé au numéro;3631;;Oui;;Oui;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00105A;012540;MONTAGNAT AP;Agence postale communale;00025A;135 CHEMIN DE L EGLISE;;;01250;MONTAGNAT;01254;FRANCE;46.171263;5.285941;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00106A;012620;MONTLUEL BP;Bureau de Poste;;226 AVENUE DE LA GARE; ; ;01120;MONTLUEL;01262;FRANCE;45.849798;5.057299;Géocodé au numéro;3631;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00107A;012630;MONTMERLE SUR SAONE BP;Bureau de Poste;;6 PLACE DE L EGLISE;;;01090;MONTMERLE SUR SAONE;01263;FRANCE;46.080702;4.7586;Géocodé au numéro;3631;;;;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00108A;012650;MONTREAL LA CLUSE BP;Bureau de Poste;;18 AVENUE DE BRESSE; ; ;01460;MONTREAL LA CLUSE;01265;FRANCE;46.17157;5.574244;Géocodé au numéro;3631;;;;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00109A;012660;MONTREVEL EN BRESSE BP;Bureau de Poste;;9 PLACE DU 3 SEPTEMBRE;;;01340;MONTREVEL EN BRESSE;01266;FRANCE;46.337705;5.128773;Géocodé au numéro;3631;;;;Oui;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00110A;012670;NURIEUX VOLOGNAT AP;Agence postale communale;00116A;2 CHEMIN DE LA FONTAINE;;;01460;NURIEUX VOLOGNAT;01267;FRANCE;46.1865;5.5268;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00111A;012690;NANTUA BP;Bureau de Poste;;26 RUE DE L HOTEL DE VILLE; ; ;01130;NANTUA;01269;FRANCE;46.151066;5.605549;Géocodé au numéro;3631;;Oui;;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00116A;012830;OYONNAX;Bureau de Poste;;69 COURS DE VERDUN;;;01100;OYONNAX;01283;FRANCE;46.260146;5.647735;Géocodé au numéro;3631;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00117A;012850;PARCIEUX AP;Agence postale communale;00174A;ROUTE DE GENAY;;;01600;PARCIEUX;01285;FRANCE;45.915498;4.824068;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00119A;012890;PERONNAS BP;Bureau de Poste;;RUE DE LA POSTE;;;01960;PERONNAS;01289;FRANCE;46.178549;5.205705;Géocodé au numéro;3631;;;;Oui;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00122A;013030;PONCIN BP;Bureau de Poste;;1 AVENUE DU PARC; ; ;01450;PONCIN;01303;FRANCE;46.08558;5.40586;Géocodé au numéro;3631;;;;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00123A;013040;PONT D AIN BP;Bureau de Poste;;8 RUE LOUISE DE SAVOIE;;;01160;PONT D AIN;01304;FRANCE;46.049696;5.341106;Géocodé au numéro;3631;;;;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00124A;013050;PONT DE VAUX BP;Bureau de Poste;;77 RUE MAL DE LATTRE DE TASSIGNY; ; ;01190;PONT DE VAUX;01305;FRANCE;46.430064;4.938305;Géocodé au numéro;3631;;;;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00125A;013060;PONT DE VEYLE BP;Bureau de Poste;;18 RUE DE LA POSTE;;;01290;PONT DE VEYLE;01306;FRANCE;46.263775;4.886734;Géocodé au numéro;3631;;;;Oui;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00127A;013130;PREVESSIN CERN BP;Bureau de Poste;;ROUTE DE ST GENIS; ; ;01280;PREVESSIN MOENS;01313;FRANCE;46.254094434;6.0798975423;Géocodé au numéro;3631;;;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00131A;013300;RUFFIEU AP;Agence postale communale;00017A;40 RUE DE LA MAIRIE; ;RUFFIEU;01260;HAUT VALROMEY;01187;FRANCE;45.994841751219;5.6627961192737;;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00132A;013330;SAINT ANDRE DE CORCY BP;Bureau de Poste;;LES MILLIERES; ; ;01390;ST ANDRE DE CORCY;01333;FRANCE;45.927691;4.956426;Géocodé au numéro;3631;;;;Oui;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00134A;013390;SAINT BERNARD AP;Agence postale communale;00174A;390 RUE DE LA SAONE;;;01600;ST BERNARD;01339;FRANCE;45.945093;4.736187;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00136A;013450;ST DENIS EN BUGEY BP;Bureau de Poste;;PLACE ALEXANDRE BERARD;;;01500;ST DENIS EN BUGEY;01345;FRANCE;45.951796;5.328498;Géocodé au milieu de la rue;3631;;;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00138A;013480;SAINT DIDIER SUR CHALARONNE BP;Bureau de Poste;;23 ALLEE DU CENTRE;;;01140;ST DIDIER SUR CHALARONNE;01348;FRANCE;46.177294357;4.8161236356;Géocodé au numéro;3631;;;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00139A;013500;SAINT ETIENNE DU BOIS BP;Bureau de Poste;;190 RUE CENTRALE; ; ;01370;ST ETIENNE DU BOIS;01350;FRANCE;46.285991;5.29254;Géocodé au numéro;3631;;;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00140A;013510;SAINT ETIENNE SUR CHALARONNE AP;Agence postale communale;00046A; 1 PLACE DES COMBATTANTS;MAIRIE;;01140;ST ETIENNE SUR CHALARONNE;01351;FRANCE;46.147885;4.865976;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00141A;013540;SAINT GENIS POUILLY BP;Bureau de Poste;;119 AVENUE DE LA REPUBLIQUE;;;01630;ST GENIS POUILLY;01354;FRANCE;46.243296627375;6.0249401415625;;3631;;Oui;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
00147A;013670;SAINT JULIEN SUR REYSSOUZE AP;Agence postale communale;00046A;5 PLACE DE LA MAIRIE;;;01560;ST JULIEN SUR REYSSOUZE;01367;FRANCE;46.40179;5.112024;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00149A;013730;SAINT MARTIN DU FRESNE AP;Agence postale communale;00116A;1 PLACE DE LA MAIRIE;;;01430;ST MARTIN DU FRENE;01373;FRANCE;46.139736;5.552603;Géocodé au numéro;3631;;;;;;;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non
00151A;013760;SAINT MAURICE DE BEYNOST BP;Bureau de Poste;;CITE DES FOLLIETS;92 BATIMENT ARC EN CIEL;;01700;ST MAURICE DE BEYNOST;01376;FRANCE;45.830298;4.979624;Géocodé au numéro;3631;;Oui;;;;;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non
